gender,age_at_enrollment,gpa,tuition_debt,scholarship,failed_subjects,credits_enrolled,credits_passed,warning_level,target_binary,source_target
0,18,11.67,0,1,0,12,12,1,0,Graduate
0,19,11.67,0,1,5,12,7,1,1,Dropout
0,19,14.73,0,1,2,16,14,0,0,Graduate
0,18,13.92,0,1,0,12,12,0,0,Graduate
0,18,11.95,0,0,0,12,12,1,0,Graduate
0,20,12.82,0,0,0,15,15,0,0,Graduate
0,18,12.86,0,0,0,16,16,0,0,Graduate
0,18,12.98,0,0,0,12,12,0,0,Graduate
0,21,12.1,0,1,1,10,9,0,0,Graduate
0,18,15.64,0,1,0,15,15,0,0,Graduate
0,18,11.38,1,0,4,10,6,1,1,Dropout
0,19,0.0,0,0,12,12,0,2,1,Dropout
0,19,11.0,0,0,4,12,8,1,0,Enrolled
0,18,13.24,0,0,2,12,10,0,0,Graduate
0,34,5.5,0,0,9,10,1,2,1,Dropout
0,19,14.2,0,0,0,10,10,0,0,Graduate
0,19,11.3,1,0,5,12,7,1,1,Dropout
0,26,14.99,1,0,0,12,12,0,0,Graduate
0,21,11.33,0,0,6,12,6,2,1,Dropout
0,18,11.5,0,1,0,10,10,1,0,Graduate
0,20,13.53,0,1,2,12,10,0,0,Graduate
0,25,5.25,0,0,8,10,2,2,1,Dropout
0,18,16.3,0,0,0,10,10,0,0,Graduate
0,18,14.71,0,1,0,15,15,0,0,Graduate
0,19,14.02,0,0,0,15,15,0,0,Graduate
0,18,11.57,0,1,0,12,12,1,0,Graduate
0,20,12.42,0,0,3,15,12,1,0,Enrolled
0,26,0.0,1,0,9,9,0,2,1,Dropout
0,19,13.06,0,1,2,16,14,0,0,Graduate
0,19,14.18,0,0,0,15,15,0,0,Graduate
0,19,11.9,0,0,7,20,13,2,0,Graduate
0,19,11.67,0,0,4,10,6,1,0,Enrolled
0,18,11.12,0,0,3,12,9,1,0,Graduate
0,19,13.33,0,0,2,14,12,0,0,Graduate
0,18,11.43,1,0,1,12,11,1,0,Graduate
0,18,12.0,0,0,2,12,10,0,0,Enrolled
0,18,12.8,0,0,0,10,10,0,0,Enrolled
0,18,12.33,0,0,3,14,11,1,0,Enrolled
0,26,0.0,1,0,10,10,0,2,1,Dropout
0,20,12.5,0,0,0,12,12,0,0,Graduate
0,19,12.17,0,0,0,12,12,0,0,Graduate
0,18,12.92,0,1,0,12,12,0,0,Graduate
0,19,14.0,0,0,0,12,12,0,0,Graduate
0,40,14.79,1,0,0,14,14,0,0,Graduate
0,18,13.39,0,1,0,16,16,0,0,Graduate
0,19,12.3,0,0,1,12,11,0,0,Graduate
0,18,11.88,0,0,2,10,8,1,0,Graduate
0,19,12.0,0,0,3,10,7,1,0,Enrolled
0,18,0.0,0,0,0,0,0,2,1,Dropout
0,33,12.85,0,0,0,12,12,0,0,Graduate
0,35,13.55,0,0,0,12,12,0,0,Graduate
0,26,12.5,0,0,4,10,6,1,0,Enrolled
0,18,13.0,0,0,0,12,12,0,0,Graduate
0,36,11.5,0,0,7,29,22,2,0,Enrolled
0,39,11.33,0,0,0,10,10,1,0,Graduate
0,44,13.42,0,0,0,12,12,0,0,Graduate
0,20,11.62,0,0,3,12,9,1,0,Enrolled
0,24,12.05,0,0,4,12,8,1,1,Dropout
0,20,13.5,0,1,0,12,12,0,0,Graduate
0,19,0.0,0,0,0,0,0,2,1,Dropout
0,18,14.2,1,1,2,14,12,0,0,Graduate
0,22,5.5,1,0,7,12,5,2,1,Dropout
0,18,15.71,0,0,0,12,12,0,0,Graduate
0,24,13.01,0,0,2,15,13,0,0,Graduate
0,33,0.0,0,0,10,10,0,2,1,Dropout
0,30,0.0,1,1,12,12,0,2,0,Enrolled
0,26,0.0,0,0,12,12,0,2,1,Dropout
0,18,11.75,0,0,0,12,12,1,0,Graduate
0,19,11.33,1,0,7,12,5,2,1,Dropout
0,20,10.67,0,0,3,10,7,1,0,Enrolled
0,22,13.61,0,1,5,20,15,1,0,Graduate
0,19,13.98,0,0,4,14,10,1,0,Enrolled
0,21,15.95,0,1,0,12,12,0,0,Graduate
0,21,14.03,0,1,2,14,12,0,0,Graduate
0,19,11.1,0,0,4,10,6,1,0,Enrolled
0,19,13.76,0,1,1,14,13,0,0,Graduate
0,18,13.41,0,0,2,16,14,0,1,Dropout
0,50,13.56,0,0,0,18,18,0,0,Graduate
0,31,11.04,0,1,2,10,8,1,0,Enrolled
0,19,14.13,0,1,0,12,12,0,0,Graduate
0,35,12.43,0,0,0,10,10,0,0,Graduate
0,31,0.0,0,0,12,12,0,2,1,Dropout
0,42,12.35,1,0,2,22,20,0,0,Enrolled
0,34,0.0,0,0,10,10,0,2,1,Dropout
0,18,15.21,0,1,0,15,15,0,0,Graduate
0,18,12.81,0,1,1,14,13,0,0,Enrolled
0,21,13.08,0,0,5,12,7,1,0,Enrolled
0,26,11.86,0,1,4,15,11,1,1,Dropout
0,20,13.5,0,0,1,15,14,0,0,Enrolled
0,19,10.33,0,0,6,12,6,2,0,Enrolled
0,19,13.3,0,1,0,12,12,0,0,Graduate
0,20,11.83,0,0,3,20,17,1,0,Graduate
0,19,11.33,0,0,0,12,12,1,0,Graduate
0,18,13.0,0,0,0,12,12,0,0,Graduate
0,28,11.64,0,0,4,25,21,1,0,Graduate
0,22,12.78,0,0,2,12,10,0,0,Enrolled
0,21,14.42,0,1,0,12,12,0,0,Graduate
0,21,11.88,0,0,7,12,5,2,0,Enrolled
0,26,11.67,0,0,5,15,10,1,0,Enrolled
0,18,12.2,1,0,2,12,10,0,1,Dropout
0,20,11.42,0,0,6,10,4,2,1,Dropout
0,18,14.43,0,0,0,12,12,0,0,Graduate
0,19,12.86,0,1,2,16,14,0,0,Graduate
0,20,11.86,0,0,0,22,22,1,0,Graduate
0,22,12.57,0,1,3,12,9,1,0,Graduate
0,18,12.76,1,0,3,12,9,1,1,Dropout
0,19,5.33,0,0,7,10,3,2,1,Dropout
0,18,11.4,0,1,3,12,9,1,0,Enrolled
0,20,10.33,0,0,6,12,6,2,0,Enrolled
0,19,11.62,0,0,5,12,7,1,0,Enrolled
0,19,12.38,0,0,2,12,10,0,0,Enrolled
0,19,14.73,0,0,2,16,14,0,0,Graduate
0,18,0.0,0,0,0,0,0,2,0,Graduate
0,21,13.93,0,0,0,25,25,0,0,Graduate
0,27,15.3,0,0,0,10,10,0,0,Graduate
0,19,14.62,0,0,0,12,12,0,0,Graduate
0,25,0.0,0,0,10,10,0,2,1,Dropout
0,18,14.65,0,1,2,16,14,0,0,Graduate
0,24,12.4,0,0,2,16,14,0,0,Graduate
0,20,12.83,0,0,1,15,14,0,0,Graduate
0,26,14.8,0,0,0,10,10,0,0,Graduate
0,20,12.08,0,1,0,12,12,0,0,Graduate
0,18,14.7,0,0,0,10,10,0,0,Graduate
0,19,13.8,0,0,0,12,12,0,0,Graduate
0,23,11.3,0,0,4,12,8,1,1,Dropout
0,18,11.6,0,1,2,14,12,1,0,Graduate
0,18,0.0,0,0,15,15,0,2,1,Dropout
0,19,13.0,0,1,0,15,15,0,0,Graduate
0,30,14.47,0,0,0,12,12,0,0,Graduate
0,29,0.0,0,0,12,12,0,2,1,Dropout
0,19,13.25,0,0,0,16,16,0,0,Graduate
0,20,13.94,0,0,0,15,15,0,0,Graduate
0,20,13.92,0,0,2,14,12,0,0,Graduate
0,19,13.54,0,0,0,12,12,0,0,Graduate
0,20,11.0,0,0,5,10,5,1,0,Enrolled
0,21,0.0,0,0,10,10,0,2,1,Dropout
0,19,13.05,0,0,3,12,9,1,0,Graduate
0,18,12.08,0,1,2,16,14,0,0,Graduate
0,27,12.32,0,1,1,12,11,0,0,Graduate
0,19,12.9,0,1,0,10,10,0,0,Graduate
0,19,0.0,0,1,14,14,0,2,1,Dropout
0,19,14.39,0,0,1,12,11,0,0,Graduate
0,18,13.81,0,1,2,16,14,0,0,Graduate
0,20,10.88,0,1,2,12,10,1,0,Enrolled
0,18,14.08,0,1,0,12,12,0,0,Graduate
0,19,0.0,0,0,12,12,0,2,1,Dropout
0,36,11.3,0,0,2,14,12,1,0,Graduate
0,18,8.0,0,0,5,6,1,2,0,Enrolled
0,18,12.0,1,0,6,10,4,2,0,Enrolled
0,19,12.3,0,0,2,16,14,0,0,Graduate
0,18,12.69,0,1,2,16,14,0,0,Graduate
0,18,11.0,0,0,2,10,8,1,0,Graduate
0,19,13.58,0,1,0,12,12,0,0,Graduate
0,19,15.23,0,1,0,15,15,0,0,Graduate
0,18,13.5,0,0,0,15,15,0,1,Dropout
0,20,13.07,0,0,1,12,11,0,0,Graduate
0,20,12.8,0,1,2,12,10,0,0,Enrolled
0,20,14.4,0,0,2,16,14,0,0,Graduate
0,18,13.38,0,1,2,16,14,0,0,Graduate
0,18,14.06,0,0,0,15,15,0,0,Graduate
0,19,12.16,0,0,0,10,10,0,0,Graduate
0,19,11.52,0,0,1,10,9,1,0,Enrolled
0,44,11.08,0,0,4,12,8,1,0,Graduate
0,32,0.0,0,0,12,12,0,2,1,Dropout
0,22,12.8,0,0,2,12,10,0,1,Dropout
0,36,13.97,0,0,1,24,23,0,0,Graduate
0,18,12.92,0,1,0,12,12,0,0,Graduate
0,20,15.5,0,0,0,10,10,0,0,Graduate
0,20,13.64,0,1,0,22,22,0,0,Graduate
0,19,10.55,0,0,3,12,9,1,0,Graduate
0,24,11.2,1,0,0,10,10,1,0,Graduate
0,20,10.5,0,0,3,12,9,1,0,Enrolled
0,27,11.12,0,0,7,21,14,2,1,Dropout
0,20,13.48,0,0,1,14,13,0,0,Enrolled
0,23,13.13,0,1,0,29,29,0,0,Graduate
0,18,13.31,0,1,0,16,16,0,0,Graduate
0,18,11.39,0,1,2,12,10,1,0,Graduate
0,20,13.49,0,1,2,16,14,0,0,Graduate
0,20,12.08,0,1,0,12,12,0,0,Graduate
0,23,12.35,0,0,1,12,11,0,1,Dropout
0,20,13.97,0,0,2,14,12,0,0,Graduate
0,28,0.0,0,0,10,10,0,2,1,Dropout
0,21,12.15,0,0,1,10,9,0,0,Graduate
0,21,6.25,0,0,7,9,2,2,1,Dropout
0,28,0.0,0,0,15,15,0,2,1,Dropout
0,18,12.6,0,0,2,15,13,0,0,Graduate
0,21,12.5,0,1,2,12,10,0,0,Enrolled
0,19,12.83,0,0,1,15,14,0,0,Graduate
0,18,14.31,0,1,2,16,14,0,0,Graduate
0,19,0.0,0,0,15,15,0,2,1,Dropout
0,20,12.83,0,0,4,12,8,1,0,Enrolled
0,20,12.45,0,1,2,15,13,0,0,Graduate
0,18,12.43,0,1,1,12,11,0,0,Graduate
0,20,11.04,0,0,2,12,10,1,1,Dropout
0,31,11.58,0,0,3,12,9,1,1,Dropout
0,19,14.59,0,1,0,15,15,0,0,Graduate
0,19,12.68,0,1,2,15,13,0,0,Graduate
0,23,12.44,0,0,0,12,12,0,0,Graduate
0,19,14.1,0,0,0,12,12,0,0,Graduate
0,20,12.6,0,0,2,14,12,0,0,Graduate
0,22,12.37,1,0,3,12,9,1,0,Enrolled
0,18,11.75,0,0,2,14,12,1,0,Enrolled
0,27,11.25,1,0,7,10,3,2,1,Dropout
0,29,5.0,0,0,13,14,1,2,1,Dropout
0,18,12.0,0,0,2,12,10,0,0,Graduate
0,18,12.23,0,0,1,12,11,0,0,Graduate
0,18,12.77,0,0,0,16,16,0,0,Graduate
0,20,11.97,0,0,2,10,8,1,0,Enrolled
0,18,13.63,0,0,1,12,11,0,0,Graduate
0,18,11.52,0,0,3,12,9,1,0,Enrolled
0,28,6.0,0,0,8,9,1,2,1,Dropout
0,18,11.72,0,1,2,16,14,1,0,Graduate
0,27,13.26,0,0,7,14,7,2,0,Enrolled
0,26,14.28,0,0,2,14,12,0,0,Enrolled
0,18,13.17,0,0,0,12,12,0,0,Graduate
0,18,13.5,0,0,1,10,9,0,1,Dropout
0,21,0.0,0,0,10,10,0,2,1,Dropout
